"length_min","length_max","gravy_min","gravy_max","n_valid_total","n_invalid_total","detection_rate_valid","detection_rate_invalid","enrichment"
9,20,-0.8,1,12871,48335,0.610751674613764,0.235807718565567,0.374943956048197
8,20,-1,0.4,13993,47213,0.604732175273517,0.230400184092588,0.374331991180929
6,35,-1.5,0.4,28576,32630,0.51606601170111,0.142062017730597,0.374003993970513
8,40,-1.2,0.3,22564,38642,0.553410668850108,0.179461276082096,0.373949392768012
10,25,-1.2,0.3,15114,46092,0.598796139968543,0.225245809900998,0.373550330067545
8,20,-0.8,0.8,13694,47512,0.604368358432005,0.230818321921097,0.373550036510908
9,40,-1.2,0.6,23683,37523,0.545419021262714,0.172073143524666,0.373345877738048
10,40,-1.5,0.8,24692,36514,0.539956158671807,0.166827134600328,0.373129024071479
10,20,-1.2,0.3,12137,49069,0.615715656772104,0.242677984827972,0.373037671944132
6,25,-1.5,0.6,26189,35017,0.529768193968557,0.156743780303555,0.373024413665002
8,25,-0.8,0.8,16713,44493,0.584782750338167,0.211856726937183,0.372926023400984
7,35,-1,0.6,23600,37606,0.543193457231773,0.17044280745411,0.372750649777663
8,25,-1,0.3,16121,45085,0.591110368892701,0.218365022710892,0.372745346181809
7,40,-1.2,0.3,24120,37086,0.541935447711402,0.169304455681355,0.372630992030047
9,40,-1.2,0.5,22939,38267,0.550567342427698,0.178039020391259,0.372528322036439
6,30,-1.5,0.4,26943,34263,0.525273313514097,0.152777029975964,0.372496283538133
8,40,-1,1,24942,36264,0.533194225369014,0.160751835744192,0.372442389624822
9,30,-1,0.4,17666,43540,0.582144544949474,0.209754820986422,0.372389723963051
9,20,-0.8,0.8,12456,48750,0.611108814080783,0.238966925579673,0.37214188850111
6,25,-1.2,1,25144,36062,0.534036258236045,0.162059899793952,0.371976358442093
8,35,-1,0.6,22088,39118,0.552484959621144,0.180824932942236,0.371660026678908
7,25,-0.8,1,18701,42505,0.57061955369868,0.199052569299948,0.371566984398732
7,30,-1,0.4,20364,40842,0.563528295195057,0.191994677296141,0.371533617898916
9,25,-1,0.3,14884,46322,0.598129493007011,0.226595920071415,0.371533572935596
7,40,-1,0.8,25807,35399,0.527518021431461,0.156136706455162,0.3713813149763
10,30,-1.2,0.3,17177,44029,0.585040235308867,0.213830997667966,0.371209237640901
9,20,-1,0.3,12119,49087,0.613729538373711,0.242731956552632,0.37099758182108
10,40,-1.5,0.6,23734,37472,0.545645249951096,0.174857797238218,0.370787452712878
10,40,-1.5,0.5,23041,38165,0.550310377649918,0.179708960106416,0.370601417543503
5,30,-1.5,1,32446,28760,0.490209404278551,0.119625755963232,0.370583648315319
7,25,-1,0.4,18313,42893,0.575394499188077,0.204982904470239,0.370411594717838
10,20,-1,1,13137,48069,0.606649823611564,0.236263375098681,0.370386448512883
8,30,-1,0.3,18065,43141,0.577592214961106,0.207371376217475,0.370220838743631
7,20,-1,0.6,16530,44676,0.585255607326279,0.215147193064065,0.370108414262214
7,20,-1.2,0.3,16619,44587,0.585038430393511,0.215262023818849,0.369776406574662
9,40,-1.2,0.4,22091,39115,0.554051306809903,0.184373988654916,0.369677318154987
10,40,-1.5,0.4,22249,38957,0.554493647867485,0.184839154579535,0.36965449328795
8,35,-1,0.5,21345,39861,0.556718997728915,0.18723424952365,0.369484748205265
6,40,-1.5,0.4,29594,31612,0.507586283440076,0.138244171280476,0.3693421121596
6,40,-1.2,0.8,29854,31352,0.502346564111798,0.133178424263379,0.369168139848419
7,35,-1,0.5,22812,38394,0.546710927492484,0.177812416228421,0.368898511264062
9,25,-0.8,1,15986,45220,0.585958958075918,0.21726231856535,0.368696639510567
8,20,-1,0.3,13356,47850,0.604008187852592,0.235442277086435,0.368565910766157
10,20,-1,0.8,12769,48437,0.607313176866618,0.238783794636569,0.368529382230049
